word,definition
tiktik,"witch, evil spirit (in form of bird or human -- named after the sound it makes"
timbang,"to balance, compare weight; equate; partner, pair"
timog,the east wind
timon,"rudder of a boat; to steer, man the helm"
tin-aw,to become clear or clean
tinga,food particles caught between teeth
tinggil,clitoris
tingko,"clink, hit lightly against (as glasses carried in a tray)"
t-in-uhog-an,pierced ears (for earrings)
tipon,"to gather, collect, assemble (non-homogeneous things)"
tipon-an,place of assembly
titi,"nipple, teat (childrens word)"
tiyan,"stomach, abdomen; womb"
tiyan-an,"having a large, curved stomach; fish with a big stomach"
tuba,"shrub, nut, medicinal: Jatropha curcas L."
tuba,to cut down bananas
tubas,"to end, finish off (harvesting)"
tubo,sugarcane
tubo,"to grow, sprout, develop; increase; interest on loan, growth"
tubod,"flow out, gush, well up (said of liquids)"
tuboe,"hard, dry stool (feces)"
tubor-an,"spring, well"
tueay,a bridge
tueo,"to drip, leak (of faucet, water)"
tueog,to be asleep; to sleep off/through
tueot,"to permit, allow"
t-ue-ubd-an,"spout, place where water flows out"
tugon,"to order, request"
tugot,string of/for kite
tugot,"to permit, allow"
tuhod,knee
tuhog,"pierce, pass or cut through, penetrate"
tukad,to go out of town; to go uphill
tukob,"to bite, nibble (said of fish)"
tukon,bamboo pole
tuktuk,to chop continually; tenderize (meat) by pounding it with a blade
tuli,ear wax; ear drainage
tuli,circumcised
tuli,to circumcise
tuman,"obey, follow, oblige"
tunaw,"to melt, dissolve"
tunay,"pure, true, genuine, real, actual"
tunga,one half; middle
tunga,to cut in half
tungaw,"very, very small red insect"
tungog,tree with bark used as food coloring
tungtung,stand on; upon; be on top (of); step on
tungtung-an,"platform, stage"
tuod,stump of a tree
tupad,to go or be side-by-side with
tupong,"level, equal; enjoying/having the same privileges"
tupong,"to level, make equal"
turo,"to teach (a subject), point out"
turos,"to squeeze, crush with one's fingernails (as lice)"
tustus,"to lower, let down, loosen"
tuwad,"put one's rear end out to, bend over and stick one's buttocks toward"
tuway,clam --- shell
tuyo,"purpose, aim, intention"
uang,"to howl, cry, screech (about)"
uban,gray hair
uban-on,"gray-haired, having gray hair"
ubi,purple yam: Dioscorea alata
ubod,"the inner white part of the trunk of banana, nipa or coconut palms; core, pith"
ubos,"gone, used up, exhausted, all out"
udto,about directly overhead (in the sky)
uean,rain; rain water; to rain
ueang,river shrimp
ueat,"scab, scar; miscolored skin (left by a wound); to heal, form a scar (said of a wound)"
ueh-an,"the head, top (of bed)"
ueo,head
ueod,stomach worm(s)
ueon,"lie down, rest one's head on a pillow"
ueot,"interval, space, unit of space"
ugali,"custom, tradition; habit"
ugam,"coating or deposit on the tongue when one is sick, resulting in bad-tasting food or drink"
ugat,blood vein; tendon
ugbos,young leaves or foliage; young frond (of fern)
ugot,be angry; get peeved
ugto,"at the zenith, directly overhead; half moon (waxing or waning)"
uhaw,be thirsty
uhay,stalk (of rice)
uhong,mushroom
uli,"go home, return (to one's place, country)"
uli,"return, bring/give (something) back"
ulihi,"be late, tardy; behind; later on"
uling,charcoal; make charcoal out of
uling-on,any wood or substance to be made into charcoal
-um-,verbal infix used on command or conditioned forms
uma,parm; plantation; field(s)
uman,"next time; repetition; repeat, do again, do over"
uman,"next time; to repeat, do again, do over"
umang,hermit crab
umoe,"press with one's palm, squeeze into small balls"
um-um,"suck on, dissolve in the mouth without swallowing, as is done to medicine or candy"
una,"first; go first, go ahead, precede"
unat,"stretch, straighten out; unbend, unkink"
unga,child; son/daughter; give birth (humans)
ungae,"cry out, scream"
ungas,"idiot, fool"
unl-an,"pillow, cushion"
unod,"meat, flesh, muscle"
unos,"be in motion; blow (wind), flow (water)"
untay,"to stretch, straighten out, extend"
upa,rice husk
upak,"skin, peeling (of fruits, vegetables); rind; to peel, take off (the skin or peeling)"
upaw,fall out (said of hair)
upaw,to fall out (said of hair); to be flat broke
upong,gather stalks of rice and bundle them together during the harvest
upos,"consumed, used up; cigarette butt"
usa,deer
usok,"pole (of a fence), fencepole"
usok,pole (of a fence)
usok,"pole (of a fence), fencepole"
utak,a blunted knife (used for weeding)
utan,vegetables
utang,"debt; owe to, be indebted to"
utas,"slash, cut off (with a blade)"
utog,"erection (of penis); to erect, become sexually excited (penis)"
utog,"erection of penis; to erect, be sexually excited (penis)"
utog,be/get sexually excited
utok,brain
utok it bulinaw,"dull, stupid, brainless"
utot,"flatulence, bad air, fart"
utot,flatulence; let some gas
uwak,crow
uway,rattan
waea,"disappear, become nothing; run out of; left without"
waeo,eight
wagwag,rice (traditional variety)
wakat,roots of mangrove trees
wakwak,large bat-like creature (believed to be a witch's messenger)
waling-waling,orchid
wasay,axe; chop with an axe
waswas,"shake (off), rid something of dirt"
wawa,mouth of a river
wi-wi,"split open further (e.g. a buttonhole), enlarge by splitting"
yakal,a hardwood tree: Shorea gisok or Shorea balangeran
yugyug,to shake (usually by the shoulders)
