word,etymology,pos,classification,definition,similar,opposite
gabii,,,,"evening, nighttime",,
gabok,,,,"to rot, become rotten",,
gabot,,,,to pull (out),,
galing,,,,"to grind, mill",,
galing-an,,,,"grinder, mill",,
gamot,,,,root,,
gaod,,,,to paddle; to row (a boat),,
gaod,,,,paddle; oar,,
gapos,,,,"twine, rope",,
gapos,,,,"to tie up, bind",,
gasa,,,,gauze; wick of lamp,,
gatong,,,,"fuel, firewood; to use fuel or firewood",,
gatos,,,,hundred; one hundred,,
gawang,,,,door,,
gawang,,,,door,,
gawgaw,,,,raw starch,,
gid,,,,"""very"", ""too"", ""extremely"", ""excessively"" (particle used for emphasis, underlining or expressing the great degree of something)",,
gikas,,,,"strip, trim, cut",,
gilak,,,,"glitter, shine",,
gingaw,,,,kind of fish,,
gi-nhawa,,,,"breath, health",,
gi-nhawa,,,,to breathe,,
gin-unah-an,,,,went ahead of,,
gi-ok,,,,to thresh rice with one's feet,,
gueang,,,,to get older,,
gulpi,,,,"sudden(ly), quick(ly), without warning; to be taken aback, surprised, be a victim of a sudden act",,
gunting,,,,"scissors, shears; to cut with scissors or shears",,
gusok,,,,rib bone,,
guyod,,,,"to drag, pull along [the ground]",,
guyod,,,,"to drag, pull along [the ground]",,
ha,,,,"""isn't that so?"", ""all right?"", ""ok?"" (tag particle used to urge another's response)",,
habagat,,,,south wind,,
haboe,,,,to weave,,
haboe,,,,"blanket, use a blanket",,
haeab,,,,"to graze, eat grass",,
haeo,,,,large lizard which eats chickens,,
hae-o,,,,"pestle, pounding stick",,
haeok,,,,to kiss,,
haeos,,,,"""alsmost"", ""barely"", ""just about"", ""hardly"" (particle expressing a small degree of likelihood or amount)",,
hagak,,,,"bragging, boastful, proud, over-exaggerating",,
hagdan,,,,"stair(s), step(s)",,
hagong,,,,in death throes due to disease,,
hagong,,,,"groan, moan",,
hagong,,,,"groan, moan (due to severe pain or sickness)",,
hakot,,,,"get, gather, bundle up",,
hakot-hakot,,,,bee-like insect building nests of mud,,
haligi,,,,"column, post, mainstay, support (of house)",,
halin,,,,"transfer, move to another place",,
hamak,,,,particle used for strong emphasis or stress,,
hambog,,,,"proud, swell-headed, boastful",,
hampak,,,,"to beat, belt, spank, slap",,
hampang,,,,to play (a game),,
hamtak,,,,long bean (sn: Vigna sesquipedalis),,
hangad,,,,"intend, try, aspire (for/to)",,
hanggae,,,,"joke, trick",,
hangin,,,,"air, wind",,
hangin-on,,,,"pretentious, boastful; crazy, foolish",,
hangit,,,,"irritated, provoked, angry",,
hangos,,,,pant (from loss of breath); breathless,,
hangos,,,,to pant (from loss of breath); breathless,,
hapdi,,,,"cause pain, smart, hurt a lot; be in pain, feel a smarting pain",,
hapdos,,,,"hurt a little, be painful",,
hapin,,,,"cover, covering, placemat",,
hapin,,,,"put something underneath (to protect the bottom surface from heat, dirt or the like)",,
hapit,,,,"stop for, pick up (when on one's way)",,
haplit,,,,"to whip, lash",,
hapon,,,,"afternoon; to roost, go to roost, settle down (birds)",,
hapon-an,,,,"perching rod or twig, roost",,
hapuhap,,,,"feel around, feel for (something -- as when searching a thief for something stolen or for a weapon)",,
hasang,,,,gill (of fish),,
hasta,,,,"until, up to that time when",,
hatag,,,,to give (something),,
hatd-an imaw,,,,escort him (imperative),,
hatod,,,,"to escort, take, deliver safely, conduct",,
hatoe,,,,"to judge, render judgment",,
hawak,,,,waist,,
hawan,,,,"clear up, clean up, make open",,
haw-as,,,,to take out (from container),,
hay,,,,"particle showing the predicate or ""news"" of a sentence, particularly when the word order is reversed or changed about; often translated by English ""is"" or other form of verb ""to be "", though such translation is not idiomatic on all occasions",,
hayop,,,,"mammals, cattle",,
hias,,,,"jewels, treasures",,
hias,,,,"seed; idea, thought",,
hi-bilin,,,,"leave behind; order, request",,
higop,,,,"inhale, sip",,
higot,,,,string (for tying),,
higot,,,,tie up,,
higot,,,,to tie up,,
hila,,,,to pull,,
hilamon,,,,"to pull grass out, pull weeds",,
hilaw,,,,"raw, uncooked; unripe",,
hilig,,,,"fond of, inclined to, having a liking for; hobby",,
hilit,,,,"corner, side",,
hilot,,,,restore a broken bone; massage,,
himok,,,,"persuade, convince",,
hi-ngaean,,,,"to pronounce, say, name",,
hi-nguto,,,,to take out lice from someone's hair,,
hi-ninga,,,,take out food particles between one's teeth,,
hipag,,,,sister-in-law,,
hipon,,,,small shrimp,,
hipos,,,,"to keep silence, be quiet; to keep secret",,
hita,,,,"crotch, groin",,
hito,,,,fish sp.,,
hiwi,,,,"uneven, askance, off to one side",,
ho,,,,"""see"", ""here"", ""look"" (tag particle used to attract another's attention, always put at the end of a sentence)",,
hoe,,,,cry to stop a carabao,,
hoy,,,,expression used to call the attention of another; term used to drive a dog away or stop it from barking or biting another,,
hubad,,,,"unravel, untie, unwind",,
hubas,,,,low tide,,
hueam,,,,borrow,,
hueaw,,,,"stop raining, ""let up"" (rain only)",,
hueog,,,,"to drop (something); mail (a letter); to fall, get dropped",,
hueom-on,,,,to borrow,,
hugas,,,,"rinse, wash off",,
hugong-hugong,,,,rumors,,
hugong-hugong,,,,rumors,,
hugot,,,,"to tighten, make firm",,
hukas,,,,"take off, unstitch",,
hulid,,,,"sleep with, share a bed with, be in bed with",,
hulikap,,,,"to pet, feel around (the body)",,
humay,,,,cooked rice,,
humbak,,,,"wave, crest",,
huna--huna,,,,"speculate, think of, consider; speculation, idea, thought",,
huni,,,,"chirp, sing (like birds or crickets); to blow (said of whistle or siren)",,
hunos,,,,to pull (out); draw (gun),,
hunos-hunos,,,,"jerk back and forth, push and pull",,
hu-o,,,,"yes. Used quite differently than the English equivalent -- the ""yes"" can mean ""the former"" or ""yes, your statement (in the negative) is true""",,
huros,,,,"slip (off), become loose",,
huya,,,,"face, pride; shame; be disgraced, be shamed",,
huy-ab,,,,to yawn,,
huyang,,,,"shake, rattle",,
huyap,,,,"to count, enumerate",,
huyong,,,,"shake, rattle",,
huyop,,,,to blow (air) on,,
ia,,,,here (near the speaker),,
iba,,,,"accompany, go along with; different, other, another",,
iba,,,,"different, other, another",,
iba,,,,"go together, be companions",,
iba,,,,tree with sour fruit (sn: Averrhoa bilimbi L.),,
i-babaw,,,,"top, uppermost part; upstairs",,
i-bilin,,,,"leave behind; order, request",,
ibog,,,,"attracted to, desire, like",,
i-daeom,,,,"below, bottom, underneath",,
idlap,,,,"shine, glow",,
igat,,,,eel,,
igpit,,,,"to clip, catch, hold between two things",,
ihi,,,,"urine, urinate",,
ika-pito,,,,seventh,,
ika-siyam,,,,ninth,,
ikaw,,,,you (singular),,
i-ka-waeo,,,,eighth,,
ik-ik,,,,"to cheep, chatter (sound of animal -- like monkey)",,
ikog,,,,tail (of any creature),,
ikot,,,,to go around; revolve,,
ila,,,,"wild, untamed, undomesticated (fowl)",,
i-lawod,,,,the seaward part of any town,,
i-laya,,,,inland (section of town),,
ilig,,,,"to flow (downstream); to flow, drop",,
ilih-an,,,,"place, location",,
il-ihi--an,,,,"urinal, place to urinate",,
ilo,,,,orphan; to be left an orphan,,
ilog,,,,to flow,,
ilong-an,,,,fish sp.,,
ilos,,,,to ladle out,,
iluk-on,,,,"underarms, armpit",,
imbaw,,,,clam--shell,,
imbis,,,,"instead of , in lieu of, in place of",,
imn-a,,,,drink (imper.),,
imo,,,,"your (singular), you",,
imon,,,,"be possessive (of), hold on to",,
imot,,,,"miserly, thrifty, penny-pinching",,
impas,,,,"pay in full, pay one's account",,
impon,,,,"mingle, mix with; consist of",,
ina,,,,M,,
ina-ina,,,,foster mother; stepmother,,
inakeanon,,,,to speak Aklanon,,
in-apo,,,,grandchildren,,
in-atay,,,,liver disease,,
in-ayam,,,,act like a dog (implying overt sexual behavior),,
indang,,,,a tree (sn: Artocarpus cumingiana Trec.),,
indong-indong,,,,eel,,
inga,,,,to bellow (carabao),,
ingit,,,,"crabby, out of sorts, in a bad mood",,
ingking,,,,"trifling, trivial, insignificant",,
ingok,,,,to grunt (like a pig),,
ingos,,,,moan in sadness; purr,,
in-insik,,,,Chinese (language),,
init,,,,"to heat, make hot",,
inog-turo,,,,index finger,,
inom,,,,to drink (up),,
inot,,,,"save up, be thrifty with",,
insik,,,,"Chinese, Chinaman",,
intok,,,,"become smaller, shrink",,
inyo,,,,your; you (plural),,
iot,,,,"""fuck"" (very strong term of anger or disgust)",,
ipil,,,,(tree) (sn: Intsia bijuga),,
iping,,,,"side-by-side with, next to",,
isda,,,,fish,,
isip,,,,"egoistic, selfish, always considering oneself; think of, consider, reckon, ponder; thought, consideration",,
isip-on,,,,think over,,
isoe,,,,move backwards,,
isot,,,,"become smaller; almost, barely, nearly",,
it,,,,"particle marking the direct, object or goal of an action,
particularly when indefinite, like ""a/an""; it also shows
possessors, like ""of""; and links adverbs to the verbs
they modify",,
itik,,,,to tickle,,
itik,,,,duck,,
itip,,,,hard-cooked rice (at the bottom of the pot),,
itlog,,,,egg; testicle,,
itum,,,,"black, dark (colored)",,
iwik,,,,"to squeal, howl (said of a pig)",,
iyot,,,,"""fuck"" (very strong term of anger or disgust)",,
ka,,,,you (singular),,
ka,,,,an enumerative marker used after numbers and question particles of quantity,,
ka-amah-an,,,,fatherhood,,
ka-anghit,,,,body odor,,
ka-angso,,,,the smell of urine,,
ka-apo-apo-han,,,,future generation(s) (of grandchildren),,
ka-away,,,,enemy,,
ka-ba-batw-an,,,,stony area/place,,
kabag,,,,"to have gas pains (in stomach), suffer from hyperacidity or indigestion",,
kaban,,,,cavan (unit of measure-- 25 gantas); a sackful of grain weighing approximately 100 pounds,,
kaban,,,,"footlocker, trunk (for clothes)",,
ka-bantog-an,,,,"fame, popularity",,
kabaong,,,,coffin,,
kabasi,,,,kind of fish,,
kabasi,,,,bolo (having shape of ),,
kabit,,,,"to cling to, hang on to; franchise, collaborate; mistress, paramour",,
kablit,,,,to touch lightly with one's finger,,
kabog,,,,fruit bat,,
kabos,,,,"to be short, run short of, not have enough of",,
ka-bukir-an,,,,mountain range,,
ka-bulig,,,,"helper, assistant",,
ka-daeom,,,,depth,,
ka-dahil-an-an,,,,"reason, cause",,
kadlit,,,,"mark, draw a line",,
ka-dungg-an-an,,,,"honor, fame, repute",,
kaeamay,,,,brown sugar,,
ka-eangit-an,,,,the heavens; Heaven,,
ka-eanot-an,,,,abaca plantation,,
kaeat,,,,rope (made of abaca fibers),,
kagat,,,,"claw, pincher (of crab)",,
ka-gueang-an,,,,"eldest, oldest",,
ka-gueang-an,,,,forest,,
kahil,,,,native pomelo orange (sn: Citrus maxima),,
ka-hipos,,,,"silence, quietude",,
kahoy,,,,"tree (general term); wood, lumber",,
ka-hulid,,,,"bedmate, bed partner",,
ka-iba,,,,"to be different, differ",,
ka-ibah-an,,,,companion,,
ka-imon,,,,"possessiveness, jealousy",,
ka-isip,,,,"egoism, selfishness, self-consideration",,
ka-isot,,,,"littleness, tininess; triviality",,
ka-kahoy-an,,,,"forest, jungle",,
kakaw,,,,"cacao (tree, fruit--used to make chocolate) (sn: Theobroma cacao L).",,
ka-kilaea,,,,"an acquaintance, friend",,
ka-lipay,,,,"joy, happiness",,
ka-lisod,,,,"difficulty, hardship",,
kamalig,,,,grain house or shed,,
kamang,,,,crawl on all fours,,
kamanga,,,,"flint, fine stone used for sharpening razor",,
kamatis,,,,tomato  (sn: Lycopersicum esculentum Mill.),,
kami,,,,we (exclusive of listener),,
kamo,,,,you (plural),,
kamon,,,,to/by us,,
kamya,,,,"white flower, camia",,
kan-a,,,,eat it! (imper.),,
kanda,,,,to/by them,,
kangkang,,,,to stretch or spread out one's feet,,
ka-nipa-an,,,,nipa swamp,,
ka-niwang,,,,"thinness, skinniness",,
kan-on,,,,rice; staple food,,
ka-nyog-an,,,,"coconut plantation, coconut grove",,
kaon,,,,"to eat; to take (in chess), jump (in checkers)",,
kaon,,,,was eaten by someone,,
kapay,,,,"propeller (on ship); to propel, paddle (boat)",,
kapin,,,,"more so, all the more, especially",,
kapit,,,,"cling to, adhere to",,
kaputi,,,,raincoat,,
ka-puti,,,,whiteness,,
ka-ragat-an,,,,open sea; ocean,,
karang,,,,bamboo sled,,
ka-saea,,,,"to sin (morally), do evil",,
ka-sae-an-an,,,,sinfulness; sins,,
ka-sakit,,,,"suffering, pain",,
ka-sangay,,,,to have the same first name,,
ka-sari-sari,,,,"be varied, be assorted/different",,
kasing-kasing,,,,heart; core,,
ka-ta-as,,,,"height, tallness",,
ka-taeon-an,,,,rural areas,,
ka-tamad,,,,"laziness, indolence",,
ka-tamn-an,,,,"orchard, plantation",,
ka-tamn-an,,,,"orchard, plantation",,
ka-tawoh-an,,,,humanity,,
kat,,,,"then, when, at that time, when",,
kati,,,,"to decoy, entice (like using one chicken to catch another)",,
kati-an,,,,"decoy; ""stool-pigeon""",,
katig,,,,outrigger (of a boat),,
ka-timbang,,,,"equal, equivalent",,
katl-an,,,,"oversexed, sex-crazy (female)",,
katoe,,,,itchy; disease--having an itchy head,,
katok,,,,crazy,,
katon,,,,to/by us,,
katri,,,,bed,,
ka-tubw-an,,,,sugarcane plantation,,
ka-tueog,,,,"to be asleep; to doze off, fall asleep",,
ka-tueog-on,,,,sleep,,
ka-tunay-an,,,,"truth, genuineness",,
katuray,,,,tree with edible blossoms (sn: Sesbania grandiflora),,
ka-tuyo-an,,,,"purpose, aim",,
ka-uhaw-on,,,,thirst,,
ka-utang-an,,,,"debts, accounts payable",,
kawayan,,,,bamboo (sn: Dendrocalamus merrillianus),,
kawil,,,,long deep sea fishing line with reel,,
kawing,,,,"to have intercourse with; fuck; to draw near to, approach",,
kilaea,,,,"to be acquainted, get introduced",,
kilat,,,,"flash of lightning, lightning bolt",,
kilaw,,,,to marinate in vinegar and serve raw,,
kilaw,,,,meat or fish marinated and served raw,,
kili-kili,,,,armpit,,
kiling-kiling,,,,to ring (a bell),,
kiling-kiling,,,,to ring (a bell),,
kimpit,,,,"tweezers, tongs; clothespin; to pinch together; to press or hold between two things",,
kina-daan,,,,"very old, ancient",,
king,,,,"""of your"", ""by your"", ""your"" (singular) (ctr: ku imo nga)",,
kingking,,,,"little finger, ""pinky""",,
kingking,,,,hop (on one foot),,
kinyo,,,,"to you, for you (plural)",,
kipot,,,,"tight, not loose",,
kipot,,,,"to close, shut; tighten (up)",,
kisaw-kisaw,,,,"to flicker, have a tic (said of one's eyes)",,
kita,,,,"we (inclusive), you and I",,
kitang,,,,deep fishing line with hooks,,
kiyaw,,,,kind of bird,,
ko,,,,"my, mine, I",,
kon,,,,"when, if (futung)",,
ku,,,,"associate marker used for common nouns to show
unemphasized subjects, goals, or instruments of
an action",,
kongkong,,,,to curl inwards (of one's toes),,
kue-ka-tueog,,,,to pretend to be asleep,,
kueob,,,,face down(wards),,
kueob,,,,face down(wards),,
kueon,,,,earthenware pot (for cooking),,
kugita,,,,octopus,,
kugon,,,,tall grass (sn: Imperata cylindrica and Imperata exaltata),,
kuku,,,,"fingernail, toenail",,
kulintas,,,,"necklace, medallion and chain",,
kulis,,,,"mark up, scratch",,
k-um-a-ingking,,,,"little finger, ""pinky""",,
kumpay,,,,"fodder, grass or food for cattle; to feed (cattle)",,
kundi,,,,"unless, if not",,
kung,,,,"if, when, whenever",,
kunta,,,,"""would"", ""hopefully"", ""if only"" (particle expressing a strong hope, desire or wish)",,
kupas,,,,"to fade (color), to lose color",,
kupit,,,,to pickpocket; to embezzle a small amount; a small amount which was embezzled,,
kupkop,,,,"to embrace, hug",,
kuring,,,,cat,,
kurit,,,,"mark up, make lines in",,
kurot,,,,to pinch,,
kusog,,,,"bicep; strength, vigor, power",,
kutak-kutak,,,,cackle (sound of chickens),,
kutana,,,,"to ask, question, inquire, query",,
kutib,,,,to mutter,,
kutkut,,,,"dig, excavate; gnaw at, said of rats",,
kuto,,,,"louse, lice",,
kuyog,,,,"to assemble, congregate, group together",,
kuyog-an,,,,"place of assembly, meeting grounds",,
la-eaki,,,,to act like a man (said of a woman),,
lapad,,,,small flat-sided bottle; hit with the broad side of a bolo,,
liad,,,,"to bend backwards, bend over backwards",,
libak,,,,malicious gossip; slander; backbiting,,
libat,,,,cross-eyed,,
libog,,,,"to be confused, be in a quandary",,
libot,,,,"turn, spin, revolution",,
libtong,,,,"quiet, deep, silent (waters)",,
ligid,,,,to roll in circles,,
ligis,,,,"roll over, smooth out (by rolling); harrow, run over",,
ligis,,,,harrow (farmer's tool),,
ligtas,,,,"to escape, get free",,
ligwan,,,,large horsefly (< *),,
likaw,,,,"to avoid, veer away from",,
liko,,,,to turn (around a corner),,
liko-an,,,,"crossing, turning point",,
likod,,,,"back (as of a building, one's body)",,
lima,,,,"five; make into five, raise or lower to five",,
limas,,,,to bail water out of a boat,,
limbok,,,,pounded rice,,
linga linga,,,,"hard of hearing, slightly deaf; not listening",,
linga-linga,,,,"hard of hearing, slightly deaf; not listening",,
lingaw,,,,"be noisy, make a racket",,
lingaw,,,,"to be noisy, make a racket",,
lingi,,,,"askew, awry, crooked, unbalanced, not level",,
lingling,,,,"peer at (while hiding), sneak a look at, peek or peep at",,
linog,,,,earthquake,,
l-in-umot,,,,covered with algae,,
li-og,,,,neck,,
lipat,,,,"to forget, to leave behind (something)",,
lipay,,,,vine like poison ivy--causes swelling and itching,,
lipay,,,,"to be happy, glad",,
liwan,,,,"outside; outside of, aside from",,
lugaw,,,,porridge (rice soup),,
ma-ambon,,,,"foggy, covered with haze, hazy",,
ma-aslom,,,,sour,,
ma-aso,,,,smoky,,
ma-baho,,,,"smelly, malodorous, stinky",,
ma-bakas,,,,"quick, fast, speedy",,
ma-bug-at,,,,"heavy, weighty",,
ma-bungah-on,,,,fruitful,,
ma-busog,,,,"full, satisfied (after eating)",,
ma-daeom,,,,deep,,
ma-dueas,,,,slippery,,
ma-ga-gabok,,,,rotten,,
mag-ama,,,,related as father and child,,
mag-asawa,,,,"be husband and wife, be married",,
mag-bu-buhat,,,,Creator,,
mag-ina,,,,to be mother and child (relationship),,
mag-salapid,,,,"to plait, to braid, to twist (hair, etc.)",,
ma-gueang,,,,elder sibling,,
ma-gueang,,,,"old, elder",,
ma-gueang,,,,"relating to older people or ways; ""of the older generation""; ""adult way""",,
ma-hangin,,,,"windy, stormy",,
ma-hangit-on,,,,irritable,,
ma-hawan,,,,"clear, having no obstructions, expansive",,
ma-hipos,,,,"silent, quiet",,
ma-humbak,,,,"wavy, stormy, rough (sea)",,
ma-huyang,,,,shaky,,
ma-ila,,,,"wild, untamed",,
ma-ila,,,,"wild, untamed",,
ma-imon,,,,"possessive, overly protective, selfish",,
ma-init,,,,hot,,
ma-intok,,,,"small, short, tiny",,
ma-isip,,,,"egoistic, selfish",,
ma-isot,,,,"little, tiny, small",,
ma-itum,,,,"black, dark (colored)",,
maka-bu-e-usog,,,,"filling, quickly makes one satisfied",,
maka-ngi-ngilo,,,,"causes one to grimace, sets the teeth on edge (as when eating something very sour or hearing a grating noise)",,
makon,,,,"""I said"", ""I felt"", ""I thought"" (particle used to quote one's own words or thoughts)",,
makupa,,,,a tree and its fruit (sn: Eugenia aquea),,
ma-kusog,,,,"strong, powerful, mighty",,
m-ali,,,,come on! let's go!,,
ma-liko,,,,"roundabout, indirect; improper (way of doing)",,
ma-lingaw,,,,"noisy, boisterous, raucous",,
ma-lipay,,,,"happy, glad, joyous",,
ma-lisod,,,,"to find something hard, difficult",,
mama,,,,"to chew (tobacco, betel nut)",,
mamah,,,,great grandfather,,
mama-matay,,,,those destined to die,,
ma-miso,,,,at one peso each,,
man,,,,"answer or response particle; it can mean ""also"" or ""too"", but is used far more frequently than those English equivalents",,
mana,,,,"""he/she said"" (particle used to quote the words/thoughts of another); ""like this"", ""for example"" (example particle)",,
ma-nakaw,,,,thief,,
man-dukot,,,,"thief, pickpocket",,
ma-nga-ngahoy,,,,wood-gatherer,,
mani,,,,clitoris,,
mani,,,,peanut,,
ma-nipis,,,,"thin, narrow, not thick",,
ma-niwang,,,,"skinny, thin",,
manog-pa-kilaea,,,,"emcee, master of ceremonies; introducer",,
manok,,,,chicken,,
manok-manok-on,,,,almondine (said of eye's shape),,
manlang,,,,"""merely"", ""only"", ""just"" (particle stressing insignificance)",,
ma-nu-nuro,,,,a teacher,,
ma-pa-it,,,,bitter,,
ma-pili,,,,"choosy, selective, ""spoiled""",,
ma-pintas,,,,"cruel, savage, mean, brutal",,
ma-puti,,,,white,,
ma-sakit,,,,"painful, hurting; sick, ill",,
maskin,,,,"even if, even though, although",,
maski,,,,"even if, even though, although",,
mata,,,,"eye; to be awake; to wake up, awaken, awake; to observe, raise, rear",,
ma-ta-as,,,,"tall, high",,
ma-taeom,,,,"sharp-edged, razor-sharp",,
ma-tamad,,,,"lazy, inactive, indolent",,
mata-mata,,,,"to look down on, belittle",,
m-atay,,,,die,,
ma-tibay,,,,"durable, longlasting (cloth)",,
ma-tin-aw,,,,"clear, crystalline, crystal clear",,
maton,,,,(particle used to make polite corrections),,
matsa,,,,"""as if"", ""if seems like"", ""somewhat"", ""similar to"" (particle used to qualify a statement)",,
ma-unod,,,,fleshy,,
may,,,,"(particle showing possession, statements of existence, or indefinite statements)",,
maya,,,,rice bird (destructive of crops),,
mo,,,,"""you"", ""your"", ""yours"" (singular)",,
muhmuh,,,,"crumbs of rice, scattered rice droppings",,
mustasa,,,,mustard (plant) (sn: Brassica integrifolia),,
maw,,,,"""like that"", ""that way"" (particle denoting relaltionship or similarity)",,
mingko,,,,"""somewhat"", ""must be"", ""it seems as if"" (particle expressing a strong sentiment that a statement is or will prove true)",,
na,,,,"particle showing that an action has begun and/or is enduring; now, already, just",,
nabaw,,,,become shallow(er),,
nakon,,,,"""my"", ""mine"", ""I""",,
namnam,,,,"delicious, flavorful",,
namon,,,,"""our"", ""we"" (not including the listener)",,
nana,,,,pus,,
nanday,,,,"(plural associate marker for the names of persons or pets, used in postpositive position)",,
na-no,,,,what (noun form only),,
nato,,,,"a tree with reddish fruit, Nauclea junghuhnii",,
naton,,,,"""our"", ""we"" (including the listener)",,
nimo,,,,"""your"", ""you"" (singular)",,
nga,,,,"(a linking particle occurring between nouns and adjectives with no English equivalent; however sometimes it has the force and meaning of the relatives ""that', ""which"", or ""who"")",,
nganga,,,,to open up,,
ngaean,,,,name (one's personal name); give a name to,,
ngaengae,,,,"to cry, whimper",,
ngakngak,,,,"babble, sing or say meaningless syllables",,
nganga,,,,to open up (as the mouth),,
ngani,,,,"""indeed"", ""precisely"" (particle used as an interjection, expressing the certainty or truthfulness of a statement); ""I know"" (implies annoyance)",,
ngaron,,,,that,,
ngato,,,,that (yonder),,
ngilo,,,,"very sour, acrid, caustic",,
ngipon,,,,"tooth, teeth",,
ngisngis,,,,"to giggle, snicker",,
ngusngus,,,,"to whine, whimper; purr",,
nguynguy,,,,"whimper, cry, simper (in the fashion of a spoiled child trying to get its way)",,
ni,,,,"singular associate marker for the name of a person or a pet, used in postpositive position [marks possession]",,
nipa,,,,(palm--used for roofing or siding) (sn: Nipa fruticans),,
nipis,,,,"to become thin(ner), less thick",,
niwang,,,,"get thinner, become skinny, lose weight",,
niyog,,,,coconut tree and fruit,,
nunok,,,,tree -- believed to be bewitched or enchanted,,
oba,,,,"undressed, naked, bare; to take off one's clothes",,
obus,,,,"gone, used up, exhausted, all out",,
obus,,,,"gone, used up, exhausted, all out",,
olitawo,,,,"master, sire; bachelor, young man",,
oto-oto,,,,"take advantage of, play for a fool",,
owa,,,,"""none"", ""no"", ""nothing"", ""do not"", ""did not"", ""do(es) not have"" (particle used to negate statements of possession (used with ""it""), or verbs in the present or past
time",,
pa,,,,"sustaining particle with the sense of English ""yet"" or ""still""",,
pa-a,,,,"thigh, upper leg",,
pa-agaw,,,,throw things for others to catch,,
pa-anod,,,,go downstream; let drift,,
pa-aslom,,,,"cause to become sour, let get sour",,
pa-ayon,,,,"to parallel, agree with",,
pa-bangon,,,,"to awaken, wake (someone) up",,
pa-bangon,,,,"to awaken, wake (someone) up",,
pa-baya,,,,"to let pass, not care about, ignore",,
pabo,,,,turkey,,
pa-buas-buas,,,,"procrastinate, put off until later, delay",,
pa-buea,,,,"talk nonsense, 'foam at the mouth'",,
pa-bukae,,,,"to boil in water, bring to a boil",,
pa-bukid,,,,"go to the mountains, head for the hills",,
pa-bulig,,,,"ask for help, have someone assist",,
pa-bunae,,,,accept a beating,,
pa-bunga,,,,to bear fruit,,
pa-bungoe,,,,"act as if deaf, play deaf",,
pa-dugo,,,,"to bleed, let bleed",,
pa-dukot,,,,to dance close together,,
pa-dumdum,,,,to remind (of),,
pa-dungog,,,,"to honor, celebrate, give honor to",,
pa-eagiw,,,,"run away and hide, avoid",,
pa-eamon,,,,to feed an animal (used insultingly of people),,
pa-eat-as-an,,,,shortcut,,
paeay,,,,"rice (growing in the fields), Oryza sativa; rice seeds (freshly harvested, unmilled)",,
paeo,,,,fish sp.,,
paeong,,,,"to put out (fire), turn off (light); to die out (fire), to go out (light)",,
pagatpat,,,,a tree (sn: Sonneratia caseolaris Linn.),,
pagbo,,,,"beam, girder (supporting roof)",,
paghid,,,,rub one's hands on something in order to get dirt off; clean off (by scraping -- without water),,
pagi,,,,"ray, ray fish",,
pag-kaon,,,,food,,
pagot,,,,grind one's teeth,,
pagutput,,,,let out much air while defecating,,
pa-hangin,,,,let fresh air blow over something,,
pa-hangin-hangin,,,,go out for some fresh air,,
paho,,,,small mango (sn: Mangifera altissima Blanco),,
pa-hueam,,,,lend,,
pa-hueom,,,,to lend,,
pa-i-lawod,,,,to go seawards,,
pa-i-laya,,,,to go inland,,
pa-inom,,,,to give to drink,,
pa-it,,,,bitterness,,
paka-matay,,,,commit suicide,,
pa-kaon,,,,to feed,,
pakig-impon,,,,"gather, mingle with",,
pa-kilaea,,,,"to introduce, acquaint",,
pakot,,,,button,,
pakpak,,,,"to clap for, applaud",,
pakpak,,,,"wing; to spank, slap (children)",,
paku,,,,a fern (sn: Athyrium esculentum),,
palhi,,,,"inhabited with evil spirits, enchanted",,
pa-libat,,,,to cross one's eyes; to look out of the corner of one's eye (in observation),,
palid,,,,get blown away by the wind,,
pa-liko,,,,to turn (something); have someone turn,,
paltik,,,,homemade gun--for only one bullet,,
paltik,,,,homemade gun--for only one bullet,,
pa-mahaw,,,,"breakfast; snack (so-called because it generally consists of cold leftovers, particularly rice; to eat breakfast",,
pa-matay,,,,"slaughter, kill off, exterminate (in great numbers)",,
pa-mihag,,,,"invade and capture, take over, seize",,
pa-minhi,,,,prepare seeds for planting,,
pa-mukaw,,,,serenade; alarm clock,,
pana,,,,bow and arrow; shoot with bow and arrow,,
pa-nabang,,,,prayer (imploring divine help or favor),,
pa-nabas,,,,cut or style of clothing,,
pa-naeog-an,,,,support or brace for bamboo flooring,,
pa-naga,,,,to fish with a hook,,
pa-nakaw,,,,theft,,
pa-nambit-an,,,,"proverb, saying",,
panaw,,,,"go on foot, walk; leave, depart, go",,
pa-nawag,,,,to call out,,
panga,,,,hook (for getting fruits),,
pa-ngahoy,,,,to gather/collect wood,,
panganay,,,,"first born, first to do",,
pang-anod,,,,cloud,,
pa-ngaon,,,,"to have an appetite, eat well",,
pa-ngawil,,,,to go deep sea fishing,,
pang-ayam,,,,to hunt (with dogs),,
pang-ayat,,,,"to affront, challenge (a whole group)",,
pangdan,,,,a tree and its fruit (sn: Pandanus tectorius),,
pang-dila-dila,,,,stick out one's tongue (in a taunting manner),,
pang-hi-nakit,,,,"to feel sorry for, sympathize with; to bear a grudge, feel bad about, take ill (someone's actions or talk)",,
pa-ngilat,,,,"to be lightening, flashing, of lightning",,
pa-ngitang,,,,to fish with a long line having many hooks,,
pangpang,,,,bank (of river); shoreline,,
pang-tueog,,,,"pyjamas, sleeping clothes",,
pang-ueo,,,,"to lead, head, be the head (of)",,
pang-uma,,,,"to farm land, be a farmer",,
pang-utana,,,,"question, inquiry",,
